"file_tag","subject_id","administration_id","age","sex","country","birth_order","variable","value"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","cat","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","kitty","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","puppy","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","milk","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","diaper","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","baby","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","daddy","understands"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","sister","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","meow","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","moo","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","bear","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","bee","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","bird","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","bunny","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","chicken","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","cow","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","fish","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","horse","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","lion","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","car","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","train","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","truck","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","ball","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","book","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","doll","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","apple","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","banana","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","food","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","diaper","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","cheek","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","foot","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","finger","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","hand","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","head","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","mouth","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","tongue","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","tummy","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","aunt","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","baby","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","grandma","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","grandpa","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","sister","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","dance","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","drink","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","kiss","understands"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","tickle","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","getup","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","bear","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","bee","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","bird","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","bunny","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","deer","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","duck","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","elephant","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","fish","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","horse","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","lamb","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","monkey","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","penguin","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","pig","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","puppy","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","sheep","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","squirrel","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","tiger","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","airplane","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","bus","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","car","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","firetruck","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","motorcycle","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","stroller","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","train","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","truck","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","balloon","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","book","understands"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","doll","understands"
