"family_id","date","session_no","video_id","orig_token","lemma","upos","token_start_time","token_end_time"
"00220001",2024-02-05,"1","57f12f7764","spy","spy","NOUN",00:06:53,00:06:54
"00220001",2024-02-05,"1","57f12f7764","baby","baby","NOUN",00:06:54,00:06:54
"00220001",2024-02-05,"1","57f12f7764","la","la","NOUN",00:10:33,00:10:34
"00220001",2024-02-05,"1","57f12f7764","nube","nube","NOUN",00:10:34,00:10:35
"00220001",2024-02-05,"1","57f12f7764","zebra","zebra","NOUN",00:10:54,00:10:54
"00220001",2024-02-05,"1","bef2451726","boop","boop","NOUN",00:00:27,00:00:27
"00220001",2024-02-05,"1","bef2451726","goodness","goodness","NOUN",00:03:21,00:03:26
"00220001",2024-02-05,"1","bef2451726","camera","camera","NOUN",00:03:45,00:03:46
"00220001",2024-02-05,"1","bef2451726","man","man","NOUN",00:05:17,00:05:19
"00220001",2024-02-05,"1","bef2451726","goodness","goodness","NOUN",00:06:20,00:06:20
"00220001",2024-02-05,"1","bef2451726","goodness","goodness","NOUN",00:08:11,00:08:11
"00220001",2024-02-05,"2","56eb318376","arms","arms","NOUN",00:00:09,00:00:09
"00220001",2024-02-05,"2","56eb318376","thomas","thomas","NOUN",00:03:51,00:03:51
"00220001",2024-02-05,"2","56eb318376","trove","trove","NOUN",00:10:56,00:10:56
"00220001",2024-02-05,"2","56eb318376","wall","wall","NOUN",00:10:57,00:10:57
"00220001",2024-02-05,"2","56eb318376","goodness","goodness","NOUN",00:11:41,00:11:41
"00220001",2024-02-05,"2","56eb318376","goodness","goodness","NOUN",00:11:44,00:11:44
"00220001",2024-02-05,"3","48fb606360","cloth","cloth","NOUN",00:00:27,00:00:27
"00220001",2024-02-05,"3","48fb606360","game","game","NOUN",00:02:36,00:02:36
"00220001",2024-02-05,"3","48fb606360","parcel","parcel","NOUN",00:02:37,00:02:37
"00220001",2024-02-05,"3","48fb606360","goodness","goodness","NOUN",00:09:34,00:09:35
"00220001",2024-02-05,"3","9c21b9ace5","video","video","NOUN",00:06:06,00:06:06
"00220001",2024-02-05,"3","9c21b9ace5","child","child","NOUN",00:09:43,00:09:44
"00220001",2024-02-05,"4","659f4955ef","goodness","goodness","NOUN",00:01:53,00:01:54
"00220001",2024-02-05,"4","e7965a3855","flum","flum","NOUN",00:01:07,00:01:10
"00220001",2024-02-05,"4","e7965a3855","flum","flum","NOUN",00:01:10,00:01:12
"00220001",2024-02-05,"4","e7965a3855","flum","flum","NOUN",00:01:12,00:01:13
"00220001",2024-02-05,"4","e7965a3855","flum","flum","NOUN",00:01:14,00:01:14
"00220001",2024-02-05,"4","e7965a3855","flum","flum","NOUN",00:01:14,00:01:15
"00220001",2024-02-05,"4","e7965a3855","flum","flum","NOUN",00:01:15,00:01:15
"00220001",2024-02-05,"4","e7965a3855","lemon","lemon","NOUN",00:01:31,00:01:32
"00220001",2024-02-05,"4","e7965a3855","toy","toy","NOUN",00:01:32,00:01:32
"00220001",2024-02-06,"1","76e528a693","mommy","mommy","NOUN",00:09:55,00:09:56
"00220001",2024-02-06,"1","76e528a693","spot","spot","NOUN",00:11:16,00:11:17
"00220001",2024-02-06,"1","76e528a693","goodness","goodness","NOUN",00:11:21,00:11:21
"00220001",2024-02-06,"2","13fade47cc","goodness","goodness","NOUN",00:00:23,00:00:25
"00220001",2024-02-06,"2","13fade47cc","face","face","NOUN",00:00:26,00:00:26
"00220001",2024-02-06,"2","13fade47cc","gopro","gopro","NOUN",00:00:27,00:00:27
"00220001",2024-02-19,"1","e4a399fa43","shush","shush","NOUN",00:00:27,00:00:27
"00220001",2024-02-19,"1","e4a399fa43","shush","shush","NOUN",00:00:28,00:00:28
"00220001",2024-02-19,"1","e4a399fa43","shush","shush","NOUN",00:00:28,00:00:28
"00220001",2024-02-19,"1","e4a399fa43","shush","shush","NOUN",00:00:28,00:00:28
"00220001",2024-02-19,"1","e4a399fa43","sweetie","sweetire","NOUN",00:00:31,00:00:32
"00220001",2024-02-19,"1","e4a399fa43","rattle","rattle","NOUN",00:00:41,00:00:41
"00220001",2024-02-19,"1","e4a399fa43","darling","darling","NOUN",00:02:05,00:02:05
