"file_tag","subject_id","administration_id","age","sex","country","birth_order","variable","value"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","dog","produces"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","hat","produces"
"WG",220001,316368,9,"Female","United States of America","2 (Second)","mommy","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","cat","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","dog","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","kitty","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","milk","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","hat","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","daddy","produces"
"WG",220001,318950,12,"Female","United States of America","2 (Second)","mommy","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","meow","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","moo","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","cat","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","chicken","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","cow","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","dog","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","kitty","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","lion","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","ball","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","cheese","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","milk","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","water","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","hat","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","bottle","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","daddy","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","mommy","produces"
"WG",220001,320137,14,"Female","United States of America","2 (Second)","tickle","produces"
"WG",230001,316561,12,"Male","Canada","4 (Fourth)","daddy","produces"
"WG",230001,319240,16,"Male","Canada","4 (Fourth)","bird","produces"
"WG",230001,319240,16,"Male","Canada","4 (Fourth)","duck","produces"
"WG",230001,319240,16,"Male","Canada","4 (Fourth)","ball","produces"
"WG",230001,319240,16,"Male","Canada","4 (Fourth)","balloon","produces"
"WG",230001,319240,16,"Male","Canada","4 (Fourth)","mommy","produces"
"WG",320002,317742,12,"Female","United States of America","2 (Second)","dog","produces"
"WG",320002,317742,12,"Female","United States of America","2 (Second)","duck","produces"
"WG",320002,317742,12,"Female","United States of America","2 (Second)","ball","produces"
"WG",320002,317742,12,"Female","United States of America","2 (Second)","book","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","meow","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","bird","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","cat","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","dog","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","duck","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","fish","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","pig","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","ball","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","book","produces"
"WG",320002,319436,15,"Female","United States of America","2 (Second)","doll","produces"
